,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
6,ripple,0.341063049658615,2019-02,5,31073468467,1497421777.623544
7,tether,1.0336729425077462,2019-02,3,82865212417,14854340037.967863
8,tron,0.0273856722811526,2019-02,11,6667760498,348587907.6177454
9,usd-coin,1.0625391833823918,2019-02,6,26033546658,805174932.3518404
0,binancecoin,17.318810742158185,2019-03,4,35577448801,375985848.0993443
2,cardano,0.0723573319494629,2019-03,8,9694596846,245714469.7228309
3,dogecoin,0.0021054936992037,2019-03,9,9550135484,97799786.59069432
4,ethereum,145.12046978952603,2019-03,2,216164795431,7932945146.403727
5,litecoin,61.57582825773725,2019-03,14,5559299098,3062765734.906713
6,ripple,0.3222519703652554,2019-03,5,31074062885,1557924154.61701
7,tether,1.0066427399067814,2019-03,3,82865212417,35070479400.907555
8,tron,0.0242434073544515,2019-03,11,6671564662,355925147.8969218
9,usd-coin,1.0095317363846528,2019-03,6,26067588508,4770937966.007095
0,binancecoin,25.20825410784867,2019-04,4,35577448801,560017527.2071364
2,cardano,0.0991131416052692,2019-04,8,9694596846,479045357.157104
3,dogecoin,0.0040492252006678,2019-04,9,9550135484,303143479.50490654
4,ethereum,184.00765159555496,2019-04,2,216164795431,67297756271.20826
5,litecoin,96.22350263377216,2019-04,14,5559299098,8779239937.96138
6,matic-network,0.0061955331038445,2019-04,13,5790063286,50856229.09144991
7,ripple,0.3689069274113406,2019-04,5,31074062885,3314284262.7401776
8,tether,1.0122156022197075,2019-04,3,82918630738,38179128195.61663
9,tron,0.0313242418198606,2019-04,11,6671564662,765199370.146533
10,usd-coin,1.121759045429806,2019-04,6,26067588508,3160479253.2116427
0,binancecoin,35.369713921858235,2019-05,4,35577448801,815810523.3244684
2,cardano,0.1001526007746233,2019-05,8,9694596846,531353648.1595517
3,dogecoin,0.0036775220675685,2019-05,9,9550135484,198521790.96125296
4,ethereum,285.8816085025646,2019-05,2,216164795431,22426402512.99784
5,litecoin,118.6236122577328,2019-05,14,5559299098,8677387858.498775
6,matic-network,0.0447400231758838,2019-05,13,5790063286,704861510.7788173
7,ripple,0.473119625920416,2019-05,5,31074062885,7594970584.966569
8,tether,1.0087418654713036,2019-05,3,82918630738,190703951559.9265
9,tron,0.0361313098249858,2019-05,11,6671564662,1829032798.2552984
10,usd-coin,1.0224117278032694,2019-05,6,26067588508,2599411784.767056
0,binancecoin,39.37645143344606,2019-06,4,35577448801,812449794.6130972
2,cardano,0.1066111790763266,2019-06,8,9694596846,687912114.8676722
3,dogecoin,0.0036169656109725,2019-06,9,9550135484,216718961.889637
4,ethereum,359.0216151726497,2019-06,2,216164795431,21499045079.738106
5,litecoin,143.24761968041605,2019-06,14,5552928819,9553708006.92483
6,matic-network,0.0275130727826045,2019-06,13,5790063286,121273034.61565144
7,ripple,0.4976329615436119,2019-06,5,31074062885,5443067961.2283
8,tether,1.009112431310862,2019-06,3,82918630738,63295133898.5887
9,tron,0.0404461519232178,2019-06,11,6671564662,2027805639.8613367
10,usd-coin,1.0226117811028057,2019-06,6,26067588508,4909976979.060587
0,binancecoin,34.428592973430135,2019-07,4,35615253517,737423044.8211426
2,cardano,0.085396781714964,2019-07,8,9697834830,530320925.1236952
3,dogecoin,0.0044362505471814,2019-07,9,9559609609,337975101.5595626
4,ethereum,316.9614225743709,2019-07,2,216295278292,15378959415.363882
5,litecoin,125.9210279890034,2019-07,14,5552928819,13515997516.116434
6,matic-network,0.0237689946889874,2019-07,13,5788499729,71895687.11450554
7,ripple,0.4146761321875183,2019-07,5,31028405043,3873139150.6569633
8,tether,1.0167254050202978,2019-07,3,82894495631,272071704318.0488
9,tron,0.0355818851190499,2019-07,11,6672513919,1517466587.1732345
10,usd-coin,1.0140388879332234,2019-07,6,26061873788,10262649418.752363
0,binancecoin,31.48990625201905,2019-08,4,35615253517,390789598.81259066
2,cardano,0.0599426059232764,2019-08,8,9697834830,377026523.3867472
3,dogecoin,0.0030956006459693,2019-08,9,9559609609,74000600.79988426
4,ethereum,234.07668427567708,2019-08,2,216295278292,12840065669.595514
5,litecoin,102.00078471892624,2019-08,14,5552928819,7150318493.768704
6,matic-network,0.0199465814503088,2019-08,13,5788499729,143729234.33566955
